,property,listing_title,is_sponsored,listing_id,listing_url,number_reviews,listing_rank,all_rank,common_icons,is_special_offer,from_rate
82,property,      D'Primahotel Airport Jakarta II,False,15327587,https://www.tripadvisor.com/Hotel_Review-g15332542-d15327587-Reviews-D_Primahotel_Airport_Jakarta_II-Pegadungan_Jakarta_Java.html,10,83,"2,075",Free Wifi Free parking ,False,0
83,property,      Park Regis Arion,False,634502,https://www.tripadvisor.com/Hotel_Review-g294229-d634502-Reviews-Park_Regis_Arion-Jakarta_Java.html,254,84,"2,075",Free Wifi Free parking ,False,0
84,property,      HARRIS Suites FX Sudirman,False,2051622,https://www.tripadvisor.com/Hotel_Review-g294229-d2051622-Reviews-HARRIS_Suites_FX_Sudirman-Jakarta_Java.html,962,85,"2,075",Free Wifi Free parking ,False,0
85,property,      Little Amaroossa Residence,False,7186577,https://www.tripadvisor.com/Hotel_Review-g294229-d7186577-Reviews-Little_Amaroossa_Residence-Jakarta_Java.html,134,86,"2,075",Free Wifi ,False,0
86,property,      Manhattan Hotel,False,632901,https://www.tripadvisor.com/Hotel_Review-g294229-d632901-Reviews-Manhattan_Hotel-Jakarta_Java.html,555,87,"2,075",Free Wifi Pool ,False,0
87,property,      Citi M Hotel,False,5212027,https://www.tripadvisor.com/Hotel_Review-g294229-d5212027-Reviews-Citi_M_Hotel-Jakarta_Java.html,459,88,"2,075",Free Wifi Free parking ,False,0
88,property,      RedDoorz Plus @ Thamrin,False,11869438,https://www.tripadvisor.com/Hotel_Review-g294229-d11869438-Reviews-RedDoorz_Plus_Thamrin-Jakarta_Java.html,18,89,"2,075",Free Wifi Restaurant ,False,0
89,property,      OYO Flagship 210 Amethyst Kemayoran,False,17386806,https://www.tripadvisor.com/Hotel_Review-g294229-d17386806-Reviews-OYO_Flagship_210_Amethyst_Kemayoran-Jakarta_Java.html,1,90,"2,075",Free Wifi Free parking ,False,0
90,property,      The Westin Jakarta,False,10391433,https://www.tripadvisor.com/Hotel_Review-g294229-d10391433-Reviews-The_Westin_Jakarta-Jakarta_Java.html,704,91,"2,075",Free Wifi Free parking ,False,0
91,property,      Fraser Residence Menteng Jakarta,False,4913622,https://www.tripadvisor.com/Hotel_Review-g294229-d4913622-Reviews-Fraser_Residence_Menteng_Jakarta-Jakarta_Java.html,263,92,"2,075",Free Wifi Free parking ,False,0
92,property,      Aston Rasuna,False,582032,https://www.tripadvisor.com/Hotel_Review-g294229-d582032-Reviews-Aston_Rasuna-Jakarta_Java.html,983,93,"2,075",Free Wifi Free parking ,False,0
93,property,      Grand Hyatt Jakarta,False,307132,https://www.tripadvisor.com/Hotel_Review-g294229-d307132-Reviews-Grand_Hyatt_Jakarta-Jakarta_Java.html,1596,94,"2,075",Free Wifi Pool ,False,0
94,property,      Sari Pacific Jakarta,False,301917,https://www.tripadvisor.com/Hotel_Review-g294229-d301917-Reviews-Sari_Pacific_Jakarta-Jakarta_Java.html,996,95,"2,075",Free Wifi Free parking ,False,0
